id,passenger_name,age,gender,train_no,booking_type,source,destination,coach,seat_no,fare,travel_date,ticket_status,crowd_level
7262,Nora Brown,29,Genderfluid,98696,Counter,Solapur,Nizamabad,A2,33,1457,8/19/2025,Waiting,medium
7263,Rohan Smith,24,Genderfluid,98733,Online,Solapur,Coimbatore,A2,60,1503,5/27/2024,RAC,medium
7264,Ava Silva,61,Male,98770,Counter,Solapur,Madurai,B1,65,1433,4/21/2024,RAC,medium
7265,Amelia Kowalski,70,Polygender,98807,Counter,Solapur,Trichy,S2,31,1421,11/17/2023,RAC,medium
7266,Amina Rossi,35,Genderfluid,98844,Online,Solapur,Salem,B1,68,1409,6/1/2025,Cancelled,medium
7267,Noah Lee,43,Genderfluid,98881,Tatkal,Solapur,Erode,A2,53,1426,6/3/2023,Cancelled,medium
7268,Layla Rossi,74,Female,98918,Counter,Solapur,Tirunelveli,A1,66,1617,12/15/2022,Waiting,medium
7269,Aarav Chen,73,Bigender,98955,Counter,Solapur,Thoothukudi,B2,21,1634,5/9/2024,Cancelled,medium
7270,Nora Singh,30,Agender,98992,Direct,Solapur,Vellore,A1,30,1535,3/4/2024,Waiting,medium
7271,Sofia Smith,60,Non-binary,99029,Tatkal,Solapur,Kochi,B2,3,1494,12/1/2025,Cancelled,medium
7272,Sofia Patel,69,Genderqueer,99066,Online,Solapur,Thiruvananthapuram,A2,32,1888,12/8/2024,RAC,high
7273,Mateo Rossi,63,Agender,99103,Online,Solapur,Kozhikode,S3,16,1644,10/1/2023,Cancelled,medium
7274,Valeria Santos,58,Polygender,99140,Counter,Solapur,Thrissur,B1,14,1632,12/14/2022,Cancelled,medium
7275,Hana Lopez,22,Agender,99177,Online,Solapur,Kollam,A1,30,1591,4/17/2024,Confirmed,medium
7276,Kenji Nielsen,72,Non-binary,99214,Online,Solapur,Mysore,D1,28,1608,7/12/2022,RAC,medium
7277,Maya Hassan,66,Agender,99251,Tatkal,Solapur,Mangalore,S2,7,1712,4/17/2025,Confirmed,medium
7278,Noah Hassan,19,Female,99288,Online,Solapur,Hubli,S2,8,1613,3/23/2026,Waiting,medium
7279,Leo Kowalski,65,Bigender,99325,Counter,Solapur,Belgaum,A2,57,1688,6/16/2022,Confirmed,medium
7280,Lucas Singh,64,Male,99362,Counter,Solapur,Davangere,B2,51,1763,1/7/2024,Waiting,high
7281,Kenji Kim,40,Bigender,99399,Tatkal,Solapur,Vadodara,D1,56,1751,11/16/2023,RAC,high
7282,Layla Lopez,71,Female,99436,Tatkal,Solapur,Rajkot,S2,12,1710,10/3/2022,Waiting,medium
7283,Leo Kowalski,17,Non-binary,99473,Direct,Solapur,Jamnagar,S3,2,1785,1/30/2023,Waiting,high
7284,Liam Dubois,73,Polygender,99510,Counter,Solapur,Bhavnagar,B2,55,1831,4/13/2023,Cancelled,high
7285,Layla Nakamura,65,Male,99547,Online,Solapur,Gandhinagar,D1,12,1906,1/12/2026,RAC,high
7286,Ishaan Nakamura,10,Agender,99584,Online,Solapur,Nashik,S2,7,1778,9/29/2024,Cancelled,high
7287,Kenji Rao,20,Female,99621,Tatkal,Solapur,Aurangabad,B1,11,1911,7/17/2022,RAC,high
7288,Daniel Khan,54,Genderfluid,99658,Direct,Solapur,Kolhapur,S3,46,1870,7/30/2022,RAC,high
7289,Maya Santos,24,Genderqueer,99695,Tatkal,Solapur,Thane,A2,11,1800,4/14/2024,Cancelled,high
7290,Sofia Rao,57,Agender,99732,Counter,Solapur,Navi Mumbai,D1,63,1991,3/18/2022,Cancelled,high
7291,Mateo Dubois,52,Agender,99769,Tatkal,Solapur,Amravati,B2,44,1921,11/18/2025,RAC,high
7292,Mateo Lopez,52,Genderfluid,99806,Tatkal,Solapur,Jodhpur,A2,24,1909,4/27/2024,Waiting,high
7293,Ava Chen,5,Genderfluid,99843,Direct,Solapur,Udaipur,S3,68,1926,4/14/2026,Cancelled,high
7294,Aarav Garcia,13,Genderfluid,99880,Counter,Solapur,Ajmer,S3,39,1885,3/14/2025,RAC,high
7295,Ethan Dubois,18,Male,99917,Online,Solapur,Kota,B2,29,1873,1/25/2025,Waiting,high
7296,Ethan Lopez,14,Bigender,99954,Counter,Solapur,Bikaner,A1,14,1977,3/12/2023,Waiting,high
7297,Ava Lee,17,Genderqueer,99991,Counter,Solapur,Alwar,B2,60,1936,11/10/2023,Confirmed,high
7298,Ava Muller,18,Polygender,10029,Tatkal,Solapur,Varanasi,A2,29,2040,4/23/2022,Cancelled,high
7299,Daniel Tanaka,55,Bigender,10066,Tatkal,Solapur,Prayagraj,B2,43,2086,2/18/2023,Cancelled,high
7300,Kenji Garcia,66,Polygender,10103,Online,Solapur,Agra,S3,9,1958,1/1/2022,RAC,high
7301,Hana Khan,39,Polygender,10140,Counter,Solapur,Meerut,A1,61,2033,10/28/2025,RAC,high
7302,Mia Khan,26,Genderfluid,10177,Direct,Solapur,Bareilly,B2,6,2108,11/27/2023,RAC,high
7303,Ishaan Santos,73,Agender,10214,Counter,Solapur,Gorakhpur,B1,42,2154,11/23/2023,Cancelled,high
7304,Lucas Singh,14,Male,10251,Direct,Solapur,Mathura,A2,40,2113,9/23/2023,Waiting,high
7305,Eva Ahmed,49,Female,10288,Online,Solapur,Dehradun,D1,61,2159,3/19/2026,Waiting,high
7306,Lucas Khan,68,Polygender,10325,Counter,Solapur,Haridwar,B2,68,2176,9/27/2024,Waiting,high
7307,Ishaan Dubois,59,Genderfluid,10362,Counter,Solapur,Amritsar,A1,35,2193,7/29/2022,Cancelled,high
7308,Ishaan Silva,14,Bigender,10399,Direct,Solapur,Ludhiana,S3,24,2210,10/29/2024,RAC,high
7309,Emma Patel,62,Genderqueer,10436,Tatkal,Solapur,Jalandhar,D1,16,2256,8/5/2022,Waiting,high
7310,Zara Silva,54,Female,10473,Tatkal,Solapur,Patiala,A1,72,2215,2/13/2026,Cancelled,high
7311,Rohan Chen,46,Genderfluid,10510,Tatkal,Solapur,Chandigarh,A1,9,2319,1/24/2025,Cancelled,high
7312,Olivia Lee,17,Male,10547,Online,Solapur,Jammu,S2,70,2191,1/16/2023,RAC,high
7313,Leo Silva,18,Female,10584,Tatkal,Solapur,Srinagar,D1,28,2295,3/3/2024,Cancelled,high
7314,Rohan Nielsen,69,Genderfluid,10621,Direct,Solapur,Raipur,B2,1,2254,7/1/2025,Confirmed,high
7315,Emma Lopez,53,Agender,10658,Direct,Solapur,Bilaspur,B2,9,2329,11/8/2024,RAC,high
7316,Nora Nakamura,72,Agender,10695,Counter,Solapur,Durg,D1,22,2230,8/16/2023,Waiting,high
7317,Aarav Chen,64,Genderqueer,10732,Counter,Solapur,Jabalpur,A1,3,2363,12/13/2024,Waiting,high
7318,Emma Nielsen,6,Bigender,10769,Tatkal,Solapur,Gwalior,D1,9,2351,8/22/2022,Waiting,high
7319,Ava Tanaka,14,Male,10806,Online,Solapur,Ujjain,B1,19,2339,1/29/2025,Confirmed,high
7320,Emma Ahmed,11,Genderqueer,10843,Tatkal,Solapur,Rewa,S3,52,2298,9/6/2025,Confirmed,high
7321,Ishaan Smith,19,Bigender,10880,Direct,Solapur,Dhanbad,B2,27,2402,12/6/2024,Confirmed,high
7322,Nora Kowalski,22,Genderfluid,10917,Direct,Solapur,Asansol,A1,23,2419,3/9/2023,Confirmed,high
7323,Arjun Kowalski,63,Female,10954,Counter,Solapur,Jamshedpur,S2,31,123,4/16/2026,RAC,low
7324,Mateo Rossi,71,Female,10991,Counter,Solapur,Tatanagar,S3,1,111,8/26/2025,Cancelled,low
7325,Leo Khan,78,Female,11028,Online,Solapur,Gaya,S1,3,2383,5/11/2025,Confirmed,high
7326,Aarav Garcia,36,Female,11065,Direct,Solapur,Muzaffarpur,S1,37,203,8/27/2024,Confirmed,low
7327,Daniel Tanaka,45,Female,11102,Direct,Solapur,Bhagalpur,S2,2,162,3/31/2026,RAC,low
7328,Maya Kowalski,18,Agender,11139,Tatkal,Solapur,Siliguri,A1,34,150,4/9/2024,Waiting,low
7329,Liam Muller,45,Male,11176,Tatkal,Solapur,New Jalpaiguri,B1,16,341,4/22/2025,Confirmed,low
7330,Maya Patel,10,Female,11213,Online,Solapur,Durgapur,B1,63,184,12/17/2023,Cancelled,low
7331,Lucas Kowalski,65,Polygender,11250,Tatkal,Solapur,Howrah,D1,21,143,11/29/2025,RAC,low
7332,Hana Silva,9,Polygender,11287,Tatkal,Solapur,Malda,D1,4,131,11/25/2023,RAC,low
7333,Mateo Silva,67,Non-binary,11324,Online,Solapur,Panaji,S3,25,177,2/3/2022,Confirmed,low
7334,Zara Lee,36,Bigender,11361,Counter,Thane,Delhi,D1,24,2491,7/31/2023,Cancelled,high
7335,Hana Chen,58,Agender,11398,Direct,Thane,New Delhi,B1,46,224,8/25/2022,Cancelled,low
7336,Ethan Nielsen,42,Female,11435,Tatkal,Thane,Mumbai,B1,49,154,10/18/2024,RAC,low
7337,Valeria Lopez,12,Bigender,11472,Tatkal,Thane,Chennai,S3,13,200,7/11/2024,Waiting,low
7338,Maya Rossi,15,Female,11509,Online,Thane,Kolkata,S1,64,217,2/11/2026,Confirmed,low
7339,Olivia Singh,36,Genderfluid,11546,Tatkal,Thane,Bangalore,A2,37,292,8/29/2024,RAC,low
7340,Hana Nakamura,75,Genderqueer,11583,Counter,Thane,Hyderabad,D1,22,309,1/26/2024,RAC,low
7341,Emma Silva,23,Agender,11620,Counter,Thane,Pune,B2,40,181,11/15/2025,RAC,low
7342,Aarav Dubois,24,Genderfluid,11657,Direct,Thane,Ahmedabad,A2,20,343,8/28/2023,Confirmed,low
7343,Ishaan Kowalski,76,Bigender,11694,Direct,Thane,Jaipur,D1,57,273,1/30/2024,Cancelled,low
7344,Nora Patel,69,Male,11731,Online,Thane,Surat,S3,26,261,5/15/2026,Cancelled,low
7345,Zara Rossi,77,Bigender,11768,Counter,Thane,Lucknow,A1,24,336,2/25/2023,Waiting,low
7346,Liam Brown,69,Non-binary,11805,Online,Thane,Kanpur,B2,40,324,9/21/2022,Confirmed,low
7347,Nora Dubois,79,Genderqueer,11842,Direct,Thane,Nagpur,D1,1,341,8/21/2023,Cancelled,low
7348,Eva Sharma,70,Agender,11879,Counter,Thane,Indore,A2,35,358,6/23/2024,Cancelled,low
7349,Mateo Nakamura,14,Male,11916,Direct,Thane,Bhopal,S3,5,375,1/12/2023,RAC,low
7350,Mei Tanaka,60,Genderfluid,11953,Tatkal,Thane,Patna,B2,30,363,12/17/2022,Cancelled,low
7351,Ananya Kowalski,45,Genderfluid,11990,Tatkal,Thane,Ranchi,D1,27,409,1/31/2026,RAC,low
7352,Ishaan Tanaka,62,Bigender,12027,Tatkal,Thane,Bhubaneswar,D1,64,571,12/17/2025,Waiting,low
7353,Amina Lopez,69,Agender,12064,Online,Thane,Cuttack,S1,12,472,8/5/2022,RAC,low
7354,Eva Lopez,62,Bigender,12101,Online,Thane,Puri,B2,57,402,8/11/2025,RAC,low
7355,Mei Kim,33,Non-binary,12138,Online,Thane,Rourkela,S3,40,535,4/7/2024,Waiting,low
7356,Ethan Hassan,79,Male,12175,Online,Thane,Sambalpur,B1,62,581,5/17/2026,Waiting,low
7357,Rohan Ahmed,22,Male,12212,Online,Thane,Guwahati,S2,12,569,5/25/2026,RAC,low
7358,Hana Martin,78,Bigender,12249,Direct,Thane,Dibrugarh,S1,6,615,10/4/2022,RAC,low
7359,Omar Nielsen,24,Polygender,12286,Direct,Thane,Agartala,A2,65,603,12/1/2024,RAC,low
7360,Noah Kowalski,8,Genderfluid,12323,Online,Thane,Silchar,B2,16,591,6/18/2023,Waiting,low
7361,Arjun Nielsen,23,Non-binary,12360,Direct,Thane,Visakhapatnam,S1,44,782,7/22/2025,Confirmed,low
7362,Aarav Rossi,53,Agender,12397,Direct,Thane,Vijayawada,B1,20,712,4/25/2023,RAC,low
7363,Kenji Rao,53,Genderfluid,12434,Tatkal,Thane,Guntur,S3,42,613,1/5/2025,RAC,low
7364,Amina Khan,63,Genderfluid,12471,Direct,Thane,Tirupati,S1,23,688,12/2/2023,RAC,low
7365,Amina Hassan,57,Agender,12508,Tatkal,Thane,Rajahmundry,S1,42,792,10/22/2023,Waiting,low
7366,Lucas Rossi,66,Male,12545,Counter,Thane,Warangal,B2,10,722,8/21/2025,Cancelled,low
7367,Rohan Garcia,39,Bigender,12582,Tatkal,Thane,Nizamabad,S2,42,768,9/19/2024,RAC,low
7368,Ethan Garcia,65,Non-binary,12619,Counter,Thane,Coimbatore,D1,72,814,3/6/2024,Cancelled,low
7369,Emma Martin,39,Polygender,12656,Online,Thane,Madurai,B1,1,744,4/10/2023,Waiting,low
7370,Olivia Patel,7,Bigender,12693,Tatkal,Thane,Trichy,A2,32,732,5/22/2025,Confirmed,low
7371,Layla Lee,7,Agender,12730,Counter,Thane,Salem,S2,65,720,5/7/2025,Confirmed,low
7372,Emma Garcia,69,Male,12767,Tatkal,Thane,Erode,B2,9,737,2/3/2025,Cancelled,low
7373,Lucas Chen,11,Genderfluid,12804,Online,Thane,Tirunelveli,D1,44,928,6/25/2022,Confirmed,low
7374,Yuki Nielsen,27,Female,12841,Online,Thane,Thoothukudi,S2,53,945,6/12/2023,RAC,low
7375,Noah Muller,16,Genderfluid,12878,Tatkal,Thane,Vellore,S1,29,846,2/6/2023,Cancelled,low
7376,Nora Muller,69,Genderfluid,12915,Online,Thane,Kochi,D1,14,805,10/6/2025,Cancelled,low
7377,Ethan Rossi,49,Male,12952,Direct,Thane,Thiruvananthapuram,A2,50,1199,11/17/2022,Waiting,medium
7378,Ethan Brown,47,Polygender,12989,Tatkal,Thane,Kozhikode,A1,71,955,7/17/2024,Waiting,low
7379,Amelia Rao,28,Genderfluid,13026,Tatkal,Thane,Thrissur,A1,68,943,7/7/2023,Waiting,low
7380,Zara Silva,39,Agender,13063,Counter,Thane,Kollam,D1,9,902,3/10/2026,Confirmed,low
7381,Olivia Muller,80,Genderfluid,13100,Tatkal,Thane,Mysore,S2,2,919,3/13/2025,RAC,low
7382,Eva Brown,74,Agender,13137,Counter,Thane,Mangalore,S3,62,1023,6/22/2024,Cancelled,medium
7383,Liam Silva,33,Genderfluid,13174,Counter,Thane,Hubli,A2,5,924,9/12/2024,RAC,low
7384,Mei Rao,40,Agender,13211,Counter,Thane,Belgaum,A2,11,999,12/25/2025,Waiting,medium
7385,Aarav Nakamura,30,Female,13248,Direct,Thane,Davangere,S3,64,1074,6/25/2022,RAC,medium
7386,Maya Patel,35,Agender,13285,Counter,Thane,Vadodara,B1,19,1062,12/6/2024,RAC,medium
7387,Amina Ahmed,40,Male,13322,Direct,Thane,Rajkot,B2,38,1021,10/2/2023,Waiting,medium
7388,Maya Kowalski,68,Bigender,13359,Counter,Thane,Jamnagar,B2,31,1096,5/24/2022,Cancelled,medium
7389,Noah Martin,80,Genderqueer,13396,Direct,Thane,Bhavnagar,A2,70,1142,1/28/2023,RAC,medium
7390,Mei Khan,74,Non-binary,13433,Online,Thane,Gandhinagar,A1,57,1217,8/18/2025,Confirmed,medium
7391,Amina Ahmed,19,Agender,13470,Direct,Thane,Nashik,D1,65,1089,10/23/2023,RAC,medium
7392,Valeria Brown,48,Bigender,13507,Tatkal,Thane,Aurangabad,B2,45,1222,5/20/2022,Cancelled,medium
7393,Ava Chen,39,Male,13544,Online,Thane,Kolhapur,S3,2,1181,6/23/2022,Waiting,medium
7394,Hana Khan,77,Bigender,13581,Online,Thane,Solapur,S1,17,1169,9/3/2023,Waiting,medium
7395,Mia Dubois,32,Female,13618,Counter,Thane,Navi Mumbai,S1,61,1302,1/11/2025,Confirmed,medium
7396,Ishaan Martin,52,Male,13655,Tatkal,Thane,Amravati,D1,59,1232,2/9/2023,Cancelled,medium
7397,Daniel Lee,33,Female,13692,Online,Thane,Jodhpur,S1,31,1220,3/20/2023,Confirmed,medium
7398,Hana Sharma,49,Bigender,13729,Online,Thane,Udaipur,B1,27,1237,1/12/2022,RAC,medium
7399,Ethan Brown,22,Bigender,13766,Counter,Thane,Ajmer,D1,61,1196,7/8/2023,Cancelled,medium
7400,Rohan Lee,77,Genderqueer,13803,Tatkal,Thane,Kota,A1,59,1184,6/5/2025,Waiting,medium
7401,Hana Khan,37,Bigender,13840,Counter,Thane,Bikaner,S1,47,1288,10/9/2024,Cancelled,medium
7402,Hana Lopez,28,Male,13877,Tatkal,Thane,Alwar,D1,15,1247,12/1/2022,Confirmed,medium
7403,Ishaan Hassan,30,Genderfluid,13914,Online,Thane,Varanasi,S2,57,1351,4/9/2025,Waiting,medium
7404,Aarav Chen,12,Agender,13951,Online,Thane,Prayagraj,B2,63,1397,4/26/2024,RAC,medium
7405,Zara Rao,66,Polygender,13988,Counter,Thane,Agra,A1,26,1269,9/16/2024,RAC,medium
7406,Ava Tanaka,28,Female,14025,Counter,Thane,Meerut,S2,25,1344,1/21/2026,Waiting,medium
7407,Olivia Brown,16,Female,14062,Tatkal,Thane,Bareilly,A1,47,1419,3/11/2023,RAC,medium
7408,Mei Nakamura,75,Male,14099,Online,Thane,Gorakhpur,A2,42,1465,7/30/2023,Confirmed,medium
7409,Aarav Kowalski,54,Male,14136,Tatkal,Thane,Mathura,A1,71,1424,6/12/2023,Waiting,medium
7410,Yuki Lopez,48,Polygender,14173,Tatkal,Thane,Dehradun,B2,68,1470,8/16/2023,RAC,medium
7411,Arjun Dubois,38,Non-binary,14210,Counter,Thane,Haridwar,A1,6,1487,1/28/2026,Confirmed,medium
7412,Eva Khan,14,Genderfluid,14247,Tatkal,Thane,Amritsar,A2,60,1504,8/10/2024,Confirmed,medium
7413,Amelia Tanaka,27,Polygender,14284,Counter,Thane,Ludhiana,S2,55,1521,4/28/2022,Waiting,medium
7414,Amina Garcia,67,Bigender,14321,Online,Thane,Jalandhar,D1,62,1567,5/11/2026,RAC,medium
7415,Amina Nielsen,36,Agender,14358,Direct,Thane,Patiala,D1,71,1526,11/6/2022,Confirmed,medium
7416,Rohan Silva,28,Polygender,14395,Tatkal,Thane,Chandigarh,S1,48,1630,12/16/2022,Cancelled,medium
7417,Eva Hassan,24,Bigender,14432,Direct,Thane,Jammu,A1,1,1502,5/9/2022,Confirmed,medium
7418,Olivia Tanaka,21,Bigender,14469,Counter,Thane,Srinagar,B1,62,1606,11/25/2023,Confirmed,medium
7419,Emma Lopez,46,Bigender,14506,Direct,Thane,Raipur,S2,47,1565,3/12/2023,Confirmed,medium
7420,Daniel Nielsen,17,Female,14543,Tatkal,Thane,Bilaspur,B2,17,1640,12/14/2022,RAC,medium
7421,Noah Rossi,69,Genderfluid,14580,Tatkal,Thane,Durg,S3,28,1541,1/18/2022,Cancelled,medium
7422,Mei Smith,61,Genderqueer,14617,Online,Thane,Jabalpur,B2,34,1674,5/14/2026,RAC,medium
7423,Mia Santos,65,Non-binary,14654,Direct,Thane,Gwalior,A1,44,1662,2/22/2025,RAC,medium
7424,Mateo Sharma,57,Agender,14691,Direct,Thane,Ujjain,S2,37,1650,10/19/2022,Cancelled,medium
7425,Hana Brown,47,Female,14728,Direct,Thane,Rewa,A1,39,1609,8/25/2022,Waiting,medium
7426,Zara Tanaka,64,Polygender,14765,Direct,Thane,Dhanbad,D1,23,1713,9/5/2023,Confirmed,medium
7427,Arjun Nielsen,50,Agender,14802,Tatkal,Thane,Asansol,B2,16,1730,10/16/2023,Confirmed,high
7428,Mia Chen,49,Agender,14839,Direct,Thane,Jamshedpur,A1,15,1834,4/15/2023,Waiting,high
7429,Ananya Kim,47,Polygender,14876,Online,Thane,Tatanagar,A2,42,1822,2/4/2022,Waiting,high
7430,Noah Muller,62,Male,14913,Counter,Thane,Gaya,S1,8,1694,5/17/2023,Confirmed,medium
7431,Yuki Sharma,79,Agender,14950,Tatkal,Thane,Muzaffarpur,S3,60,1914,3/13/2026,Waiting,high
7432,Lucas Santos,64,Polygender,14987,Online,Thane,Bhagalpur,B2,35,1873,9/24/2023,Waiting,high
7433,Aarav Kim,40,Bigender,15024,Direct,Thane,Siliguri,S2,43,1861,5/1/2026,RAC,high
7434,Zara Smith,14,Polygender,15061,Counter,Thane,New Jalpaiguri,B2,68,2052,9/28/2024,Cancelled,high
7435,Mateo Tanaka,20,Genderqueer,15098,Counter,Thane,Durgapur,S1,5,1895,2/6/2022,RAC,high
7436,Daniel Ahmed,34,Genderqueer,15135,Direct,Thane,Howrah,S3,62,1854,6/9/2022,Waiting,high
7437,Maya Silva,12,Genderqueer,15172,Online,Thane,Malda,A1,38,1842,1/24/2025,Cancelled,high
7438,Maya Santos,58,Agender,15209,Tatkal,Thane,Panaji,S2,72,1888,9/29/2023,Cancelled,high
7439,Daniel Wilson,68,Genderqueer,15246,Direct,Navi Mumbai,Delhi,S1,1,2098,3/10/2026,Cancelled,high
7440,Lucas Chen,36,Polygender,15283,Direct,Navi Mumbai,New Delhi,S2,23,2231,6/22/2022,RAC,high
7441,Mei Wilson,66,Male,15320,Direct,Navi Mumbai,Mumbai,S3,63,2161,9/16/2022,Cancelled,high
7442,Liam Rossi,57,Male,15357,Online,Navi Mumbai,Chennai,A2,21,2207,10/22/2023,Cancelled,high
7443,Sofia Kim,51,Bigender,15394,Counter,Navi Mumbai,Kolkata,B1,3,2224,2/9/2026,RAC,high
7444,Sofia Rao,48,Bigender,15431,Online,Navi Mumbai,Bangalore,S3,64,2299,4/7/2025,Waiting,high
7445,Emma Tanaka,60,Genderfluid,15468,Online,Navi Mumbai,Hyderabad,D1,31,2316,6/23/2025,Cancelled,high
7446,Lucas Kowalski,48,Male,15505,Direct,Navi Mumbai,Pune,A1,39,2188,1/1/2024,Confirmed,high
7447,Lucas Sharma,43,Polygender,15542,Counter,Navi Mumbai,Ahmedabad,B1,67,2350,1/26/2023,Cancelled,high
7448,Emma Lopez,65,Non-binary,15579,Tatkal,Navi Mumbai,Jaipur,A1,26,2280,7/15/2024,Cancelled,high
7449,Valeria Lopez,26,Polygender,15616,Direct,Navi Mumbai,Surat,D1,39,2268,1/17/2026,Confirmed,high
7450,Sofia Wilson,44,Genderfluid,15653,Counter,Navi Mumbai,Lucknow,B2,56,2343,5/13/2023,Cancelled,high
7451,Nora Silva,52,Agender,15690,Direct,Navi Mumbai,Kanpur,S1,14,2331,6/14/2022,RAC,high
7452,Layla Nielsen,38,Non-binary,15727,Online,Navi Mumbai,Nagpur,A2,46,2348,7/27/2025,Cancelled,high
7453,Mia Kim,24,Polygender,15764,Tatkal,Navi Mumbai,Indore,S1,3,2365,7/10/2022,Confirmed,high
7454,Leo Lee,67,Bigender,15801,Direct,Navi Mumbai,Bhopal,A2,50,2382,8/12/2022,Cancelled,high
7455,Amelia Tanaka,22,Genderqueer,15838,Direct,Navi Mumbai,Patna,B1,64,2370,1/9/2026,RAC,high
7456,Ananya Singh,61,Genderfluid,15875,Direct,Navi Mumbai,Ranchi,D1,56,2416,4/6/2024,Confirmed,high
7457,Arjun Dubois,66,Male,15912,Tatkal,Navi Mumbai,Bhubaneswar,S2,64,178,4/28/2025,Cancelled,low
7458,Ananya Santos,77,Polygender,15949,Direct,Navi Mumbai,Cuttack,S2,64,2479,9/25/2022,Confirmed,high
7459,Aarav Muller,61,Non-binary,15986,Online,Navi Mumbai,Puri,B2,35,2409,8/30/2025,Cancelled,high
7460,Noah Khan,39,Genderfluid,16023,Direct,Navi Mumbai,Rourkela,D1,11,142,10/5/2025,Confirmed,low
7461,Ishaan Wilson,5,Bigender,16060,Tatkal,Navi Mumbai,Sambalpur,S2,50,188,7/13/2024,Cancelled,low
7462,Mateo Hassan,45,Polygender,16097,Tatkal,Navi Mumbai,Guwahati,A1,32,176,5/14/2024,Confirmed,low
7463,Ishaan Wilson,28,Genderfluid,16134,Counter,Navi Mumbai,Dibrugarh,A2,12,222,7/9/2022,RAC,low
7464,Zara Dubois,10,Genderfluid,16171,Direct,Navi Mumbai,Agartala,S3,22,210,3/12/2022,Confirmed,low
7465,Layla Silva,57,Bigender,16208,Online,Navi Mumbai,Silchar,S1,43,198,1/8/2025,RAC,low
7466,Amelia Nakamura,5,Female,16245,Direct,Navi Mumbai,Visakhapatnam,B2,16,389,10/25/2022,Confirmed,low
7467,Sofia Khan,17,Non-binary,16282,Tatkal,Navi Mumbai,Vijayawada,S1,60,319,6/11/2025,Confirmed,low
7468,Amina Garcia,11,Bigender,16319,Tatkal,Navi Mumbai,Guntur,B1,21,220,7/23/2022,RAC,low
7469,Amina Martin,14,Genderfluid,16356,Direct,Navi Mumbai,Tirupati,S3,41,295,9/21/2022,Cancelled,low
7470,Sofia Lee,26,Female,16393,Tatkal,Navi Mumbai,Rajahmundry,S3,15,399,9/20/2025,RAC,low
7471,Ethan Chen,73,Agender,16430,Tatkal,Navi Mumbai,Warangal,S3,68,329,3/13/2026,Cancelled,low
7472,Eva Silva,32,Bigender,16467,Counter,Navi Mumbai,Nizamabad,S2,37,375,3/3/2025,Confirmed,low
7473,Ananya Singh,23,Agender,16504,Direct,Navi Mumbai,Coimbatore,S3,32,421,10/3/2024,Waiting,low
7474,Arjun Ahmed,80,Polygender,16541,Online,Navi Mumbai,Madurai,D1,7,351,9/10/2022,Confirmed,low
7475,Eva Nielsen,58,Agender,16578,Counter,Navi Mumbai,Trichy,B1,60,339,5/9/2025,RAC,low
7476,Sofia Lee,30,Bigender,16615,Counter,Navi Mumbai,Salem,S3,48,327,11/27/2022,Waiting,low
7477,Ethan Dubois,69,Genderfluid,16652,Online,Navi Mumbai,Erode,B2,14,344,6/14/2023,Cancelled,low
7478,Rohan Smith,62,Female,16689,Direct,Navi Mumbai,Tirunelveli,D1,68,535,5/26/2025,Cancelled,low
7479,Hana Tanaka,38,Male,16726,Tatkal,Navi Mumbai,Thoothukudi,S2,8,552,4/29/2025,RAC,low
7480,Mateo Brown,34,Bigender,16763,Tatkal,Navi Mumbai,Vellore,B1,38,453,1/15/2023,Confirmed,low
7481,Eva Martin,73,Genderfluid,16800,Tatkal,Navi Mumbai,Kochi,A2,55,412,11/18/2025,RAC,low
7482,Zara Silva,10,Genderqueer,16837,Online,Navi Mumbai,Thiruvananthapuram,S2,56,806,12/10/2024,RAC,low
7483,Kenji Smith,60,Polygender,16874,Online,Navi Mumbai,Kozhikode,D1,33,562,8/29/2025,RAC,low
7484,Sofia Martin,35,Genderqueer,16911,Counter,Navi Mumbai,Thrissur,A1,62,550,11/1/2022,RAC,low
7485,Leo Garcia,6,Agender,16948,Online,Navi Mumbai,Kollam,D1,42,509,9/4/2024,Cancelled,low
7486,Amina Brown,52,Polygender,16985,Direct,Navi Mumbai,Mysore,S3,57,526,10/22/2023,Waiting,low
7487,Mia Hassan,56,Genderfluid,17022,Online,Navi Mumbai,Mangalore,A2,15,630,11/10/2024,Confirmed,low
7488,Ananya Rao,46,Genderqueer,17059,Counter,Navi Mumbai,Hubli,S1,2,531,5/9/2022,Cancelled,low
7489,Amelia Tanaka,23,Genderqueer,17096,Online,Navi Mumbai,Belgaum,A2,31,606,10/19/2023,RAC,low
7490,Hana Sharma,74,Genderqueer,17133,Counter,Navi Mumbai,Davangere,D1,17,681,1/28/2025,Confirmed,low
7491,Mei Garcia,30,Female,17170,Direct,Navi Mumbai,Vadodara,S1,48,669,4/6/2022,Confirmed,low
7492,Leo Dubois,61,Non-binary,17207,Counter,Navi Mumbai,Rajkot,A1,40,628,10/16/2022,RAC,low
7493,Leo Hassan,31,Polygender,17244,Direct,Navi Mumbai,Jamnagar,S2,1,703,4/1/2026,RAC,low
7494,Nora Patel,35,Polygender,17281,Tatkal,Navi Mumbai,Bhavnagar,A2,2,749,5/4/2024,Confirmed,low
7495,Liam Tanaka,20,Bigender,17318,Online,Navi Mumbai,Gandhinagar,S1,70,824,9/1/2022,Waiting,low
7496,Mateo Wilson,34,Agender,17355,Online,Navi Mumbai,Nashik,B2,58,696,8/22/2024,RAC,low
